team_name,att,mid,defn,ovr
Chelsea,85,85,82,84
Manchester United,86,83,81,83
Arsenal,86,82,80,83
Manchester City,84,85,81,83
Tottenham Hotspur,86,82,81,82
Liverpool,83,82,80,82
Everton,79,82,79,80
West Ham United,80,79,78,79
Leicester City,79,79,76,78
Southampton,78,78,77,78
Stoke City,78,77,77,77
Watford,77,76,76,77
Crystal Palace,81,76,75,76
West Bromwich Albion,80,75,76,76
Swansea City,75,77,75,76
Bournemouth,76,74,75,75
Burnley,74,75,75,75
Newcastle United,74,75,75,75
Brighton & Hove Albion,74,74,73,74
Huddersfield Town,73,73,72,73
Norwich City,73,73,74,73
Aston Villa,74,73,73,73
Sunderland,81,76,73,76
Hull City,76,74,75,75
Middlesbrough,76,74,74,75
