team_name,att,mid,defn,ovr
Manchester City,85,87,84,85
Liverpool,84,82,84,84
Chelsea,83,79,83,83
Tottenham Hotspur,84,83,80,82
Manchester United,82,83,81,82
Arsenal,81,83,80,81
Leicester City,82,80,76,79
West Ham United,79,80,78,79
Newcastle United,79,78,79,79
Aston Villa,78,79,79,79
Wolverhampton Wanderers,78,80,74,78
Everton,78,77,76,77
Nottingham Forest,75,76,77,77
Crystal Palace,77,76,76,76
Leeds United,77,76,75,76
Fulham,77,76,74,76
Southampton,76,72,76,76
Brighton & Hove Albion,75,76,77,76
Brentford,76,75,74,75
Bournemouth,72,73,73,74
Burnley,74,73,73,73
Watford,72,71,74,73
West Bromwich Albion,73,72,71,72
Norwich City,72,71,72,72
Sheffield United,71,73,72,72
Middlesbrough,68,70,72,72
Hull City,71,70,68,70
Queens Park Rangers,71,68,71,70
Luton Town,70,70,69,69
Swansea City,69,70,68,69
Stoke City,69,69,69,69
Huddersfield Town,67,67,69,69
Sunderland,71,68,67,68
Cardiff City,67,68,68,68
Derby County,68,67,66,67
