team_name,att,mid,defn,ovr
Manchester City,87,87,84,85
Liverpool,84,81,84,83
Arsenal,83,84,81,82
Manchester United,82,84,82,82
Tottenham Hotspur,83,82,79,81
Newcastle United,80,81,82,81
Chelsea,78,81,79,81
Aston Villa,79,80,80,80
West Ham United,77,77,77,78
Everton,79,76,75,77
Wolverhampton Wanderers,78,77,75,77
Fulham,77,77,76,77
Brighton & Hove Albion,76,78,78,77
Brentford,75,76,76,77
Nottingham Forest,76,76,75,76
Crystal Palace,75,76,76,76
Leicester City,73,76,75,76
Bournemouth,74,74,74,74
Burnley,73,74,74,74
Southampton,73,74,74,74
Leeds United,73,72,72,74
Luton Town,72,71,72,72
Sheffield United,69,73,72,72
Norwich City,71,72,71,72
Watford,70,71,69,71
West Bromwich Albion,69,72,70,71
Middlesbrough,67,71,71,71
Stoke City,70,70,69,70
Hull City,68,71,70,70
Swansea City,71,70,67,69
Cardiff City,70,70,68,69
Queens Park Rangers,67,69,69,69
Sunderland,57,67,69,69
Ipswich,67,69,68,68
Huddersfield Town,67,67,68,68
Derby County,66,67,67,67
