team_name,att,mid,defn,ovr
Liverpool,86,83,80,85
Manchester City,85,86,83,85
Tottenham Hotspur,89,82,81,82
Manchester United,83,82,82,82
Chelsea,82,84,82,82
Arsenal,83,79,79,80
Leicester City,80,81,79,80
Everton,81,79,80,79
Wolverhampton Wanderers,77,81,78,79
West Ham United,79,79,77,78
Aston Villa,77,77,77,77
Leeds United,78,76,75,76
Southampton,77,77,76,76
Crystal Palace,77,75,75,76
Newcastle United,77,75,74,76
Burnley,75,76,77,76
Brighton & Hove Albion,75,76,76,75
Fulham,74,75,74,75
West Bromwich Albion,74,74,72,74
Sheffield United,71,74,73,73
Watford,74,74,73,74
AFC Bournemouth,72,75,71,74
Norwich City,76,73,71,73
Brentford,74,72,71,72
Swansea City,73,71,72,71
Cardiff City,71,71,69,71
Middlesbrough,70,70,71,70
Stoke City,70,70,70,70
Derby County,68,70,69,70
Queens Park Rangers,72,69,69,69
Huddersfield Town,68,69,69,69
Hull City,68,66,66,67
Sunderland,68,65,65,66
